ID                                    0xd3bb
Delivery_person_ID             DEHRES09DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                30.332735
Restaurant_longitude               78.054222
Delivery_location_latitude         30.342735
Delivery_location_longitude        78.064222
Order_Date                        13-02-2022
Time_Orderd                             9:10
Time_Order_picked                       9:15
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   15.000000
Name: 35819, dtype: object
