ID                                       0x3bbc
Delivery_person_ID                VADRES11DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.308096
Restaurant_longitude                  73.167753
Delivery_location_latitude            22.348096
Delivery_location_longitude           73.207753
Order_Date                           03-03-2022
Time_Orderd                               12:50
Time_Order_picked                         12:60
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    NaN
City                                      Urban
Time_taken (min)                      10.000000
Name: 36570, dtype: object
