ID                                     0xd0bd
Delivery_person_ID             LUDHRES02DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.07
Delivery_location_longitude              0.07
Order_Date                         14-02-2022
Time_Orderd                               NaN
Time_Order_picked                       17:45
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                      2.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        36.00
Name: 15971, dtype: object
