ID                                    0xdaee
Delivery_person_ID             KNPRES03DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                26.469003
Restaurant_longitude               80.316344
Delivery_location_latitude         26.509003
Delivery_location_longitude        80.356344
Order_Date                        11-02-2022
Time_Orderd                            14:45
Time_Order_picked                      14:55
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   14.000000
Name: 6830, dtype: object
