ID                                        0x95f
Delivery_person_ID                JAPRES03DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   26.913483
Restaurant_longitude                  75.803139
Delivery_location_latitude            26.963483
Delivery_location_longitude           75.853139
Order_Date                           05-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:40
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 17055, dtype: object
