ID                                      0xad5c
Delivery_person_ID             COIMBRES08DEL01
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.071852
Delivery_location_longitude          77.046268
Order_Date                          06-03-2022
Time_Orderd                              21:50
Time_Order_picked                        21:60
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     35.000000
Name: 23295, dtype: object
