ID                                       0x3ff5
Delivery_person_ID              COIMBRES09DEL03
Delivery_person_Age                   33.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   11.008638
Restaurant_longitude                  76.984311
Delivery_location_latitude            11.038638
Delivery_location_longitude           77.014311
Order_Date                           13-03-2022
Time_Orderd                               17:15
Time_Order_picked                         17:30
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      32.000000
Name: 41270, dtype: object
