ID                                      0x699a
Delivery_person_ID             PUNERES010DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.589299
Delivery_location_longitude          73.947902
Order_Date                          17-03-2022
Time_Orderd                              18:25
Time_Order_picked                        18:30
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     21.000000
Name: 10966, dtype: object
