ID                                       0xbffd
Delivery_person_ID                ALHRES12DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -25.443994
Restaurant_longitude                 -81.860187
Delivery_location_latitude            25.503994
Delivery_location_longitude           81.920187
Order_Date                           11-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:20
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 16613, dtype: object
