ID                                       0xbfb0
Delivery_person_ID                KOCRES20DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                    9.979186
Restaurant_longitude                  76.317361
Delivery_location_latitude            10.029186
Delivery_location_longitude           76.367361
Order_Date                           17-02-2022
Time_Orderd                               18:10
Time_Order_picked                         18:20
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 20467, dtype: object
