ID                                      0x70d9
Delivery_person_ID             COIMBRES07DEL02
Delivery_person_Age                  23.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.091850
Delivery_location_longitude          77.101082
Order_Date                          18-03-2022
Time_Orderd                              20:10
Time_Order_picked                        20:20
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     23.000000
Name: 18627, dtype: object
