ID                                     0xafa
Delivery_person_ID             MYSRES15DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                12.352058
Restaurant_longitude               76.606650
Delivery_location_latitude         12.362058
Delivery_location_longitude        76.616650
Order_Date                        07-03-2022
Time_Orderd                            10:25
Time_Order_picked                      10:30
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 29369, dtype: object
