ID                                    0xbffc
Delivery_person_ID             DEHRES18DEL02
Delivery_person_Age                    50.00
Delivery_person_Ratings                 6.00
Restaurant_latitude                    -0.00
Restaurant_longitude                   -0.00
Delivery_location_latitude              0.02
Delivery_location_longitude             0.02
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                       8:50
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       25.00
Name: 19661, dtype: object
