ID                                       0x3bb7
Delivery_person_ID                MUMRES07DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   19.091458
Restaurant_longitude                  72.827808
Delivery_location_latitude            19.171458
Delivery_location_longitude           72.907808
Order_Date                           06-03-2022
Time_Orderd                               18:45
Time_Order_picked                         18:60
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      40.000000
Name: 38361, dtype: object
