ID                                       0x68ed
Delivery_person_ID             RANCHIRES19DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.413017
Delivery_location_longitude           85.397200
Order_Date                           06-04-2022
Time_Orderd                               17:40
Time_Order_picked                         17:55
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 4163, dtype: object
