ID                                      0x3cfd
Delivery_person_ID             COIMBRES18DEL03
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.080910
Delivery_location_longitude          77.000432
Order_Date                          21-03-2022
Time_Orderd                              23:45
Time_Order_picked                        23:50
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     23.000000
Name: 16823, dtype: object
