ID                                       0x4ce0
Delivery_person_ID             RANCHIRES16DEL03
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.371292
Restaurant_longitude                  85.327872
Delivery_location_latitude            23.431292
Delivery_location_longitude           85.387872
Order_Date                           13-03-2022
Time_Orderd                               21:15
Time_Order_picked                         21:20
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      48.000000
Name: 34556, dtype: object
