ID                                       0xa14f
Delivery_person_ID              COIMBRES01DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   11.016298
Restaurant_longitude                  76.972076
Delivery_location_latitude            11.026298
Delivery_location_longitude           76.982076
Order_Date                           03-03-2022
Time_Orderd                                8:20
Time_Order_picked                          8:35
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 27016, dtype: object
