ID                                     0xa1c3
Delivery_person_ID             INDORES12DEL01
Delivery_person_Age                  26.00000
Delivery_person_Ratings               5.00000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.78806
Delivery_location_longitude          75.93340
Order_Date                         11-03-2022
Time_Orderd                             14:40
Time_Order_picked                       14:55
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                   1.00000
Festival                                   No
City                                    Urban
Time_taken (min)                     22.00000
Name: 44089, dtype: object
