ID                                     0x5f4d
Delivery_person_ID             CHENRES14DEL02
Delivery_person_Age                 23.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 13.026279
Restaurant_longitude                80.174568
Delivery_location_latitude          13.046279
Delivery_location_longitude         80.194568
Order_Date                         24-03-2022
Time_Orderd                             10:55
Time_Order_picked                       10:60
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 29452, dtype: object
