ID                                    0x2d5e
Delivery_person_ID             MYSRES14DEL03
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.30
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.09
Delivery_location_longitude             0.09
Order_Date                        04-03-2022
Time_Orderd                            21:20
Time_Order_picked                      21:30
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     3.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       49.00
Name: 24308, dtype: object
