ID                                      0x1ba2
Delivery_person_ID             COIMBRES18DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.090910
Delivery_location_longitude          77.010432
Order_Date                          06-04-2022
Time_Orderd                              22:30
Time_Order_picked                        22:35
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     25.000000
Name: 28967, dtype: object
