ID                                    0xc9c9
Delivery_person_ID             GOARES08DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings             3.900000
Restaurant_latitude                15.556561
Restaurant_longitude               73.763633
Delivery_location_latitude         15.636561
Delivery_location_longitude        73.843633
Order_Date                        18-02-2022
Time_Orderd                            20:20
Time_Order_picked                      20:30
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 2825, dtype: object
