ID                                       0xd44a
Delivery_person_ID                KNPRES08DEL01
Delivery_person_Age                       27.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           11-02-2022
Time_Orderd                                8:40
Time_Order_picked                          8:55
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          11.00
Name: 13379, dtype: object
