ID                                    0xda98
Delivery_person_ID             BHPRES18DEL03
Delivery_person_Age                25.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                23.234631
Restaurant_longitude               77.401663
Delivery_location_latitude         23.294631
Delivery_location_longitude        77.461663
Order_Date                        11-02-2022
Time_Orderd                            21:60
Time_Order_picked                      22:15
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 3746, dtype: object
