ID                                     0xce1d
Delivery_person_ID             BHPRES010DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 23.266261
Restaurant_longitude                77.379605
Delivery_location_latitude          23.306261
Delivery_location_longitude         77.419605
Order_Date                         17-02-2022
Time_Orderd                             12:60
Time_Order_picked                       13:10
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 18119, dtype: object
