ID                                     0xbf9c
Delivery_person_ID             AURGRES08DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 19.876428
Restaurant_longitude                75.364792
Delivery_location_latitude          19.946428
Delivery_location_longitude         75.434792
Order_Date                         14-02-2022
Time_Orderd                               NaN
Time_Order_picked                       21:20
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    42.000000
Name: 36426, dtype: object
