ID                                       0xd80b
Delivery_person_ID               AURGRES14DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   19.875016
Restaurant_longitude                  75.322405
Delivery_location_latitude            19.905016
Delivery_location_longitude           75.352405
Order_Date                           13-02-2022
Time_Orderd                               23:45
Time_Order_picked                         23:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 41476, dtype: object
