ID                                     0xc2c5
Delivery_person_ID             LUDHRES14DEL02
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 30.892978
Restaurant_longitude                75.821847
Delivery_location_latitude          30.972978
Delivery_location_longitude         75.901847
Order_Date                         16-02-2022
Time_Orderd                             21:60
Time_Order_picked                       22:15
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    37.000000
Name: 41083, dtype: object
