ID                                       0xd2f8
Delivery_person_ID               AURGRES04DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   19.876106
Restaurant_longitude                  75.340775
Delivery_location_latitude            19.896106
Delivery_location_longitude           75.360775
Order_Date                           11-02-2022
Time_Orderd                                9:20
Time_Order_picked                          9:30
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 26641, dtype: object
