ID                                       0xc6b3
Delivery_person_ID                GOARES06DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   15.561550
Restaurant_longitude                  73.749092
Delivery_location_latitude            15.611550
Delivery_location_longitude           73.799092
Order_Date                           13-02-2022
Time_Orderd                               18:45
Time_Order_picked                         18:50
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      26.000000
Name: 27006, dtype: object
