ID                                     0xb95b
Delivery_person_ID             CHENRES18DEL01
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.981615
Restaurant_longitude                80.231598
Delivery_location_latitude          13.051615
Delivery_location_longitude         80.301598
Order_Date                         18-03-2022
Time_Orderd                             23:55
Time_Order_picked                       24:10
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 36094, dtype: object
