ID                                       0xdcff
Delivery_person_ID               LUDHRES11DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   30.893081
Restaurant_longitude                  75.821495
Delivery_location_latitude            31.023081
Delivery_location_longitude           75.951495
Order_Date                           16-02-2022
Time_Orderd                               20:45
Time_Order_picked                         20:50
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 42034, dtype: object
