ID                                    0xc2d9
Delivery_person_ID             DEHRES06DEL03
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                30.361281
Restaurant_longitude               78.068022
Delivery_location_latitude         30.421281
Delivery_location_longitude        78.128022
Order_Date                        15-02-2022
Time_Orderd                            19:10
Time_Order_picked                      19:20
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 27396, dtype: object
