ID                                       0xd7e7
Delivery_person_ID                KOLRES19DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   22.549100
Restaurant_longitude                  88.400467
Delivery_location_latitude            22.629100
Delivery_location_longitude           88.480467
Order_Date                           12-02-2022
Time_Orderd                               19:20
Time_Order_picked                         19:25
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      42.000000
Name: 33633, dtype: object
