ID                                    0x3b15
Delivery_person_ID             SURRES20DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             3.700000
Restaurant_latitude                21.152760
Restaurant_longitude               72.778059
Delivery_location_latitude         21.262760
Delivery_location_longitude        72.888059
Order_Date                        25-03-2022
Time_Orderd                            21:55
Time_Order_picked                      22:05
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   40.000000
Name: 8504, dtype: object
