ID                                       0x6cec
Delivery_person_ID               CHENRES04DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   13.029780
Restaurant_longitude                  80.208812
Delivery_location_latitude            13.159780
Delivery_location_longitude           80.338812
Order_Date                           31-03-2022
Time_Orderd                               21:60
Time_Order_picked                         22:15
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 40281, dtype: object
