ID                                       0x243c
Delivery_person_ID                MUMRES16DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   19.120083
Restaurant_longitude                  72.907385
Delivery_location_latitude            19.140083
Delivery_location_longitude           72.927385
Order_Date                           13-03-2022
Time_Orderd                               10:10
Time_Order_picked                         10:15
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 3320, dtype: object
