ID                                       0x4b0e
Delivery_person_ID                JAPRES12DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                3.900000
Restaurant_latitude                   26.902908
Restaurant_longitude                  75.792934
Delivery_location_latitude            26.992908
Delivery_location_longitude           75.882934
Order_Date                           27-03-2022
Time_Orderd                               23:60
Time_Order_picked                         24:05
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 22105, dtype: object
