ID                                     0x1b5f
Delivery_person_ID             CHENRES19DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 12.986047
Restaurant_longitude                80.218114
Delivery_location_latitude          12.996047
Delivery_location_longitude         80.228114
Order_Date                         19-03-2022
Time_Orderd                               NaN
Time_Order_picked                        8:50
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 31003, dtype: object
