ID                                    0xc7e8
Delivery_person_ID             ALHRES16DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                25.450377
Restaurant_longitude               81.834236
Delivery_location_latitude         25.490377
Delivery_location_longitude        81.874236
Order_Date                        17-02-2022
Time_Orderd                              NaN
Time_Order_picked                      15:60
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 21365, dtype: object
