ID                                        0x70c
Delivery_person_ID              COIMBRES09DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   11.008638
Restaurant_longitude                  76.984311
Delivery_location_latitude            11.018638
Delivery_location_longitude           76.994311
Order_Date                           21-03-2022
Time_Orderd                                 NaN
Time_Order_picked                          8:45
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 17976, dtype: object
