ID                                    0xa17c
Delivery_person_ID             HYDRES05DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                17.433809
Restaurant_longitude               78.386744
Delivery_location_latitude         17.473809
Delivery_location_longitude        78.426744
Order_Date                        01-04-2022
Time_Orderd                            14:15
Time_Order_picked                      14:30
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   23.000000
Name: 24133, dtype: object
