ID                                       0x13cb
Delivery_person_ID             RANCHIRES11DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.359194
Restaurant_longitude                  85.325447
Delivery_location_latitude            23.409194
Delivery_location_longitude           85.375447
Order_Date                           01-04-2022
Time_Orderd                               18:15
Time_Order_picked                         18:30
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      10.000000
Name: 36327, dtype: object
