ID                                       0x428e
Delivery_person_ID             RANCHIRES03DEL02
Delivery_person_Age                       27.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.05
Delivery_location_longitude                0.05
Order_Date                           05-03-2022
Time_Orderd                               19:25
Time_Order_picked                         19:40
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          14.00
Name: 31339, dtype: object
