ID                                      0x4cc9
Delivery_person_ID             COIMBRES08DEL02
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.051852
Delivery_location_longitude          77.026268
Order_Date                          26-03-2022
Time_Orderd                              21:25
Time_Order_picked                        21:40
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     21.000000
Name: 33650, dtype: object
