ID                                      0x3d0b
Delivery_person_ID             COIMBRES07DEL01
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.071850
Delivery_location_longitude          77.081082
Order_Date                          02-04-2022
Time_Orderd                              21:45
Time_Order_picked                        21:60
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     28.000000
Name: 14046, dtype: object
