ID                                      0x717d
Delivery_person_ID             COIMBRES13DEL03
Delivery_person_Age                  26.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.033669
Delivery_location_longitude          77.006494
Order_Date                          03-04-2022
Time_Orderd                              19:25
Time_Order_picked                        19:35
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     20.000000
Name: 16450, dtype: object
