ID                                       0xcf5b
Delivery_person_ID               LUDHRES17DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                3.900000
Restaurant_latitude                   30.893384
Restaurant_longitude                  75.821202
Delivery_location_latitude            31.003384
Delivery_location_longitude           75.931202
Order_Date                           14-02-2022
Time_Orderd                               22:40
Time_Order_picked                         22:45
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 45321, dtype: object
