ID                                       0x4faf
Delivery_person_ID             RANCHIRES08DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   23.353783
Restaurant_longitude                  85.326967
Delivery_location_latitude            23.433783
Delivery_location_longitude           85.406967
Order_Date                           02-04-2022
Time_Orderd                               19:45
Time_Order_picked                         19:55
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      41.000000
Name: 16899, dtype: object
