ID                                      0x732a
Delivery_person_ID             COIMBRES17DEL03
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.086117
Delivery_location_longitude          77.004652
Order_Date                          05-04-2022
Time_Orderd                              23:40
Time_Order_picked                        23:55
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     13.000000
Name: 42901, dtype: object
