ID                                     0xaf4f
Delivery_person_ID             CHENRES14DEL01
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.026279
Restaurant_longitude                80.174568
Delivery_location_latitude          13.036279
Delivery_location_longitude         80.184568
Order_Date                         09-03-2022
Time_Orderd                             10:55
Time_Order_picked                       11:10
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    10.000000
Name: 44241, dtype: object
