ID                                    0xdfe0
Delivery_person_ID             AGRRES03DEL03
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                27.160832
Restaurant_longitude               78.011608
Delivery_location_latitude         27.190832
Delivery_location_longitude        78.041608
Order_Date                        13-02-2022
Time_Orderd                            19:10
Time_Order_picked                      19:15
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 33690, dtype: object
