ID                                     0xd0d5
Delivery_person_ID             AGRRES010DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 27.163303
Restaurant_longitude                78.057044
Delivery_location_latitude          27.173303
Delivery_location_longitude         78.067044
Order_Date                         13-02-2022
Time_Orderd                               NaN
Time_Order_picked                       11:05
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 24899, dtype: object
