ID                                    0x9df5
Delivery_person_ID             VADRES08DEL02
Delivery_person_Age                    37.00
Delivery_person_Ratings                 3.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.13
Delivery_location_longitude             0.13
Order_Date                        14-03-2022
Time_Orderd                            20:40
Time_Order_picked                      20:55
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       35.00
Name: 4934, dtype: object
