ID                                     0xc1ed
Delivery_person_ID             LUDHRES06DEL01
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 30.895204
Restaurant_longitude                75.822103
Delivery_location_latitude          31.005204
Delivery_location_longitude         75.932103
Order_Date                         16-02-2022
Time_Orderd                             19:20
Time_Order_picked                       19:25
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    42.000000
Name: 33321, dtype: object
