ID                                    0x2d2f
Delivery_person_ID             SURRES11DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                21.157735
Restaurant_longitude               72.768778
Delivery_location_latitude         21.227735
Delivery_location_longitude        72.838778
Order_Date                        02-03-2022
Time_Orderd                            17:55
Time_Order_picked                      18:10
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 32341, dtype: object
