ID                                         0x811
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                          NaN
Delivery_person_Ratings                      NaN
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.374422
Delivery_location_longitude            85.352900
Order_Date                            09-03-2022
Time_Orderd                                  NaN
Time_Order_picked                           9:30
Weather conditions                           NaN
Road_traffic_density                         NaN
Vehicle_condition                              3
Type_of_order                               Meal
Type_of_vehicle                          scooter
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       20.000000
Name: 9299, dtype: object
