ID                                     0xc4ca
Delivery_person_ID             LUDHRES02DEL02
Delivery_person_Age                     35.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.02
Delivery_location_longitude              0.02
Order_Date                         17-02-2022
Time_Orderd                              8:55
Time_Order_picked                        9:10
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                      0.00
Festival                                   No
City                                    Urban
Time_taken (min)                        18.00
Name: 42374, dtype: object
