ID                                        0x8f4
Delivery_person_ID               INDORES19DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.745536
Restaurant_longitude                  75.893106
Delivery_location_latitude            22.765536
Delivery_location_longitude           75.913106
Order_Date                           30-03-2022
Time_Orderd                                 NaN
Time_Order_picked                          8:40
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    NaN
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 11262, dtype: object
