ID                                       0x645a
Delivery_person_ID                HYDRES04DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   17.411028
Restaurant_longitude                  78.329645
Delivery_location_latitude            17.421028
Delivery_location_longitude           78.339645
Order_Date                           09-03-2022
Time_Orderd                               11:15
Time_Order_picked                         11:25
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 40242, dtype: object
