ID                                    0x8e0d
Delivery_person_ID             MUMRES13DEL03
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                19.178321
Restaurant_longitude               72.834715
Delivery_location_latitude         19.238321
Delivery_location_longitude        72.894715
Order_Date                        03-03-2022
Time_Orderd                            23:55
Time_Order_picked                      24:10
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                 NaN
City                           Metropolitian
Time_taken (min)                   11.000000
Name: 34230, dtype: object
