ID                                     0xd68d
Delivery_person_ID             LUDHRES02DEL01
Delivery_person_Age                     20.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.01
Delivery_location_longitude              0.01
Order_Date                         13-02-2022
Time_Orderd                             10:55
Time_Order_picked                       11:10
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        18.00
Name: 37101, dtype: object
