ID                                     0xc0ad
Delivery_person_ID             KOLRES010DEL03
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                -22.538999
Restaurant_longitude                88.322337
Delivery_location_latitude          22.598999
Delivery_location_longitude         88.382337
Order_Date                         11-02-2022
Time_Orderd                             21:35
Time_Order_picked                       21:45
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    25.000000
Name: 18780, dtype: object
